srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.5,6807.0,149.171.126.6,21.0,tcp,FIN,0.883703,2934,3742,31,29,11,15,ftp,26054.00195,33250.99219,52,54,255,255,1360630701,3507006256,56,69,0,0,1418.321717,52.549531,1421929539,1421929540,17.32094,16.663754,0.000656,0.00052,0.000136,0,0,0.0,1.0,1.0,1,1,6,3,1,1,3,Benign,0
59.166.0.8,3083.0,149.171.126.8,1106.0,tcp,FIN,0.331832,5486,94690,31,29,7,42,-,130885.5078,2259553.0,96,98,255,255,4178282039,4255976864,57,966,0,0,191.539223,189.026052,1424242515,1424242515,3.489747,3.416072,0.000593,0.00047,0.000123,0,0,,,,5,1,3,3,1,1,1,Benign,0
149.171.126.10,1043.0,175.45.176.0,53.0,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260603,1424260603,0.007,0.0,0.0,0.0,0.0,0,0,,,,31,31,31,31,31,15,31,Benign,0
59.166.0.5,13382.0,149.171.126.2,53.0,udp,CON,0.001122,130,162,31,29,0,0,dns,463458.0938,577540.0625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421965602,1421965602,0.007,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,3,2,2,1,1,1,Benign,0
59.166.0.7,34971.0,149.171.126.1,80.0,tcp,FIN,1.122783,1580,10168,31,29,3,5,http,10324.34668,68429.96875,12,18,255,255,2368581066,2369602843,132,565,1,3924,9598.660777,7727.936224,1424238922,1424238923,102.039817,66.014703,0.00066,0.000529,0.000131,0,0,1.0,,,1,2,9,4,1,1,1,Benign,0
59.166.0.0,15843.0,149.171.126.3,8202.0,udp,CON,0.001552,536,304,31,29,0,0,-,2072165.0,1175257.75,4,4,0,0,0,0,134,76,0,0,0.554136,0.255973,1424249828,1424249828,0.395333,0.183,0.0,0.0,0.0,0,0,,,,3,5,4,4,1,1,4,Benign,0
59.166.0.3,59119.0,149.171.126.8,111.0,udp,CON,0.004567,568,312,31,29,0,0,-,746222.875,409897.0938,4,4,0,0,0,0,142,78,0,0,1.640961,1.426942,1424230913,1424230913,1.167333,1.017,0.0,0.0,0.0,0,0,,,,3,3,5,3,1,1,3,Benign,0
175.45.176.1,1043.0,149.171.126.18,53.0,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424238634,1424238634,0.006,0.0,0.0,0.0,0.0,0,2,,,,42,42,29,29,29,15,42,Generic,1
59.166.0.6,28327.0,149.171.126.0,80.0,tcp,FIN,1.042102,1684,10168,31,29,3,5,http,12006.50293,73727.90625,14,18,255,255,930015324,931015629,120,565,1,3924,8771.170256,7680.189391,1421951840,1421951841,80.131156,61.272,0.000612,0.000473,0.000139,0,0,1.0,0.0,0.0,2,3,5,3,1,1,1,Benign,0
59.166.0.4,60613.0,149.171.126.6,58768.0,tcp,FIN,0.012679,2230,14370,31,29,7,11,-,1366038.25,8815206.0,34,36,255,255,2915949212,787717488,66,399,0,0,0.0,21.745672,1424248569,1424248569,0.38575,0.355824,0.000703,0.000578,0.000125,0,0,,,,2,8,5,2,1,1,1,Benign,0
59.166.0.1,41133.0,149.171.126.0,45782.0,tcp,FIN,0.026908,2854,30856,31,29,7,17,-,830087.6875,8982904.0,46,48,255,255,318121583,2471543400,62,643,0,0,37.753152,36.498044,1424249674,1424249674,0.590244,0.562404,0.000591,0.000472,0.000119,0,0,,,,5,5,1,3,1,1,3,Benign,0
59.166.0.0,37130.0,149.171.126.4,5190.0,tcp,FIN,0.00557,2054,2478,31,29,6,6,-,2816517.0,3411131.0,22,24,255,255,3999969478,4000259804,93,103,0,0,15.113541,12.860346,1424227192,1424227192,0.248952,0.217739,0.000679,0.000553,0.000126,0,0,,,,3,4,1,3,1,1,2,Benign,0
59.166.0.3,32895.0,149.171.126.4,53.0,udp,CON,0.001016,130,162,31,29,0,0,dns,511811.0,637795.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421936985,1421936985,0.008,0.006,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,5,1,2,1,1,1,Benign,0
59.166.0.4,28988.0,149.171.126.0,22.0,tcp,FIN,0.289862,3728,5474,31,29,7,7,ssh,99688.8125,144786.1406,32,24,255,255,3590317138,1441031976,117,228,0,0,585.928964,17.469863,1424223437,1424223437,9.350388,12.572435,0.000693,0.000569,0.000124,0,0,,,,1,2,2,5,1,1,1,Benign,0
59.166.0.9,5475.0,149.171.126.4,3584.0,tcp,FIN,0.045858,2542,21450,31,29,7,14,-,432465.4375,3653015.75,40,42,255,255,101519205,2295840199,64,511,0,0,73.333411,71.115476,1424260816,1424260816,1.198553,1.105561,0.00083,0.000527,0.000303,0,0,,,,4,1,1,1,1,1,2,Benign,0
59.166.0.0,9330.0,149.171.126.5,111.0,udp,CON,0.004724,568,312,31,29,0,0,-,721422.5,396274.3438,4,4,0,0,0,0,142,78,0,0,1.771774,1.517922,1421942075,1421942075,1.258333,1.081333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,7,7,3,1,1,3,Benign,0
59.166.0.8,36383.0,149.171.126.6,80.0,tcp,FIN,1.072036,1580,10168,31,29,3,5,http,10813.06934,71669.23438,12,18,255,255,16628820,17628434,132,565,1,3924,10022.36275,8075.428881,1424254820,1424254821,97.425634,63.029116,0.000678,0.000537,0.000141,0,0,1.0,,,1,2,2,1,1,1,1,Benign,0
59.166.0.3,26815.0,149.171.126.0,6881.0,tcp,FIN,0.231481,6596,242532,31,29,12,89,-,225850.0625,8340866.0,108,204,255,255,430334854,434441054,61,1189,0,0,127.507614,80.003269,1421959023,1421959023,2.16042,1.137473,0.000701,0.000572,0.000129,0,0,0.0,0.0,0.0,15,15,9,9,6,1,6,Benign,0
59.166.0.6,39616.0,149.171.126.9,53.0,udp,CON,0.000984,130,162,31,29,0,0,dns,528455.25,658536.5625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424235539,1424235539,0.005,0.002,0.0,0.0,0.0,0,0,,,,3,3,3,2,1,1,4,Benign,0
59.166.0.7,36099.0,149.171.126.2,35783.0,tcp,FIN,0.105874,3614,45854,31,29,7,24,-,268545.625,3408957.75,60,62,255,255,2536290940,514841382,60,740,0,0,97.882891,95.40738,1421950569,1421950569,1.788831,1.727721,0.000622,0.000477,0.000145,0,0,0.0,0.0,0.0,7,4,2,7,1,1,1,Benign,0
175.45.176.1,51538.0,149.171.126.12,80.0,tcp,FIN,1.265512,904,33884,62,252,2,13,http,5240.566895,207511.2656,12,32,255,255,2876228022,3590227951,75,1059,1,16036,6830.936844,4427.575712,1424256692,1424256693,114.964,37.595582,0.149494,0.100045,0.049449,0,1,1.0,,,2,1,1,1,1,1,1,Exploits,1
59.166.0.8,31670.0,149.171.126.2,80.0,tcp,FIN,1.004746,1580,10168,31,29,3,5,http,11537.24512,76469.07813,12,18,255,255,3980621147,1836276423,132,565,1,3924,9528.795229,7674.743105,1421930002,1421930003,91.311365,59.070057,0.000713,0.000551,0.000162,0,0,1.0,0.0,0.0,3,4,3,2,1,1,1,Benign,0
149.171.126.15,47439.0,175.45.176.3,53.0,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424246340,1424246340,0.003,0.0,0.0,0.0,0.0,0,0,,,,21,21,21,21,21,9,21,Benign,0
59.166.0.9,30231.0,149.171.126.2,28980.0,tcp,FIN,0.265639,4576,2768,31,29,7,7,-,132089.0313,79897.90625,24,24,255,255,1937666174,1941149954,191,115,0,0,820.100923,23.130945,1421962819,1421962820,11.534304,11.524261,0.000737,0.000577,0.00016,0,0,0.0,0.0,0.0,6,4,3,1,1,1,1,Benign,0
59.166.0.2,42414.0,149.171.126.9,52950.0,tcp,FIN,0.054942,5486,95318,31,29,7,42,-,790506.3125,13737541.0,96,98,255,255,3774120765,1624846173,57,973,0,0,36.720031,35.795061,1424226458,1424226458,0.587226,0.560113,0.000777,0.000602,0.000175,0,0,,,,1,12,1,1,1,1,2,Benign,0
59.166.0.6,45676.0,149.171.126.2,7767.0,tcp,FIN,0.046448,320,1842,31,29,1,2,ftp-data,45986.91016,277643.8125,6,8,255,255,715954437,779487688,53,230,0,0,642.82778,15.761363,1421939460,1421939460,9.2204,6.566,0.000632,0.000484,0.000148,0,0,0.0,0.0,0.0,6,3,4,11,1,1,4,Benign,0
59.166.0.2,54969.0,149.171.126.3,22.0,tcp,FIN,0.010146,3728,5474,31,29,7,7,ssh,2848018.75,4136408.25,32,24,255,255,1294097981,3439798305,117,228,0,0,19.99113,0.595914,1424241136,1424241136,0.32729,0.409174,0.000734,0.000595,0.000139,0,0,,,,2,3,3,3,1,1,4,Benign,0
59.166.0.3,34282.0,149.171.126.2,21.0,tcp,FIN,0.857596,2934,3742,31,29,11,15,ftp,26847.14063,34263.21875,52,54,255,255,1527591898,1528609715,56,69,0,0,1594.45521,53.279566,1424229861,1424229862,16.809373,16.170812,0.000698,0.000539,0.000159,0,0,,1.0,1.0,1,1,4,2,1,1,2,Benign,0
